"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2024","11,588.10","11,712.60","11,738.50","11,588.10","138.71M","-1.62%"
"12/16/2024","11,778.60","11,733.80","11,794.20","11,721.40","104.56M","0.23%"
"12/13/2024","11,752.10","11,768.10","11,857.60","11,744.30","95.01M","-0.11%"
"12/12/2024","11,764.80","11,778.10","11,819.30","11,741.80","122.24M","-0.21%"
"12/11/2024","11,789.30","11,944.90","11,950.60","11,771.90","106.11M","-1.47%"
"12/10/2024","11,965.50","11,981.80","12,021.90","11,965.50","92.53M","-0.38%"
"12/09/2024","12,011.50","12,091.40","12,114.70","11,999.40","88.30M","-0.50%"
"12/06/2024","12,072.00","12,106.40","12,153.60","12,059.00","83.93M","-0.39%"
"12/05/2024","12,118.70","11,939.20","12,128.80","11,939.10","143.78M","1.57%"
"12/04/2024","11,931.60","11,890.30","11,975.90","11,890.10","99.57M","0.49%"
"12/03/2024","11,873.60","11,743.90","11,889.20","11,742.40","98.39M","1.18%"
"12/02/2024","11,735.30","11,581.40","11,785.00","11,577.80","92.36M","0.81%"
"11/29/2024","11,641.30","11,563.40","11,657.10","11,531.00","109.06M","0.26%"
"11/28/2024","11,610.80","11,615.70","11,656.90","11,600.70","79.73M","0.27%"
"11/27/2024","11,579.50","11,596.00","11,605.00","11,486.10","109.15M","-0.33%"
"11/26/2024","11,617.90","11,619.80","11,662.70","11,575.00","106.15M","-0.80%"
"11/25/2024","11,711.80","11,732.70","11,767.60","11,679.60","251.67M","0.47%"
"11/22/2024","11,656.60","11,633.70","11,674.00","11,520.90","158.60M","0.39%"
"11/21/2024","11,611.70","11,592.90","11,631.70","11,513.80","100.85M","0.19%"
"11/20/2024","11,589.50","11,643.30","11,720.70","11,548.60","105.32M","0.01%"
"11/19/2024","11,588.40","11,672.60","11,677.00","11,428.00","135.96M","-0.74%"
"11/18/2024","11,674.80","11,640.80","11,674.80","11,591.80","94.91M","0.33%"
"11/15/2024","11,635.90","11,478.80","11,664.60","11,472.00","125.50M","0.97%"
"11/14/2024","11,524.30","11,403.50","11,536.20","11,369.00","103.80M","1.29%"
"11/13/2024","11,377.10","11,361.20","11,442.40","11,295.00","107.40M","-0.05%"
"11/12/2024","11,382.60","11,475.40","11,550.60","11,378.90","119.02M","-1.85%"
"11/11/2024","11,597.30","11,644.00","11,667.70","11,593.00","98.36M","0.40%"
"11/08/2024","11,551.60","11,552.30","11,617.50","11,515.60","162.90M","-0.16%"
"11/07/2024","11,570.10","11,537.30","11,623.00","11,512.60","162.86M","0.65%"
"11/06/2024","11,495.30","11,779.40","11,794.70","11,461.20","215.40M","-2.90%"
"11/05/2024","11,839.20","11,779.50","11,847.40","11,769.70","106.57M","0.29%"
"11/04/2024","11,805.10","11,823.20","11,892.10","11,805.10","118.54M","-0.32%"
"11/01/2024","11,843.00","11,671.90","11,851.00","11,670.60","116.08M","1.46%"
"10/31/2024","11,672.60","11,640.30","11,717.30","11,615.40","152.93M","-0.36%"
"10/30/2024","11,715.00","11,748.50","11,754.50","11,634.10","125.77M","-0.68%"
"10/29/2024","11,795.30","11,959.00","11,962.50","11,786.50","131.02M","-0.91%"
"10/28/2024","11,904.00","11,863.90","11,918.50","11,817.20","90.06M","0.77%"
"10/25/2024","11,812.50","11,831.50","11,870.00","11,782.20","86.78M","-0.23%"
"10/24/2024","11,839.80","11,859.80","11,925.40","11,839.20","86.01M","-0.21%"
"10/23/2024","11,865.20","11,834.50","11,887.10","11,808.10","85.37M","0.27%"
